-329.66885188001487,17620.0
-317.1771473851838,17153.0
-346.4011813920446,17987.0
-408.71752002677704,21589.0
-351.75871102752,18644.0
-375.3412099515503,19763.0
-346.7998383469318,18345.0
-377.9821676247501,20135.0
-376.67320023977084,19986.0
-369.1252202530547,19751.0
-368.3397657076002,19683.0
-346.7998383469318,18345.0
-405.3909560798392,20762.0
-317.1771473851838,17153.0
-383.9146003000202,20174.0
-363.6617783020067,19063.0
-358.85610800036466,18763.0
-431.87440195514444,23480.0
-325.36441370130507,17594.0
-291.0098578291054,16302.0
-307.0337286975986,17068.0
-304.07961123014377,16634.0
-430.1564389896566,21903.0
-397.2562114265926,20260.0
-423.03580148814206,21650.0
